"Cash on delivery prices","Cash On Delivery - Preiseinstellungen"
"Local destinations","Ziele im Inland"
"Foreign destinations","Ziele im Ausland"
"Cash on delivery","Nachnahme"
"Enable Cash on delivery","Nachnahme aktiviert?"
"IG Cash on delivery prices - Local fee","IG Cash on delivery - Preise f&ouml;r Ziele im Inland"
"Add New Price Rule","Neue Preisregel hinzuf&uuml;gen"
"IG Cash on delivery prices - Foreign fee","IG Cash on delivery - Preise f&ouml;r Ziele im Ausland"
"From amount","Preis ab"
"Apply fee","Geb&uuml;hr"
"Apply from amount","Preis ab"
"Cash on delivery fee","Geb&uuml;hr"
"You will be charged an extra fee of %s","Zus&auml;tzlich anfallende Kosten: %s (Nachnahmezuschlag)"